TEAMRESULT,A_PCT,A_RPI,A_PCT_NC,A_RPI_NC,A_RANK_NC,A_PCT_C,A_RPI_C,A_RANK_C,A_ROAD,A_NC,A_OPP,A_WIN_F,A_LOST_F,A_WL_1_25,A_WL_26_50,A_WL_51_100,A_WL_101_200,A_WL_201,A_ND1,B_PCT,B_RPI,B_PCT_NC,B_RPI_NC,B_RANK_NC,B_PCT_C,B_RPI_C,B_RANK_C,B_ROAD,B_NC,B_OPP,B_WIN_F,B_LOST_F,B_WL_1_25,B_WL_26_50,B_WL_51_100,B_WL_101_200,B_WL_201,B_ND1,PLAYIN_FLAG,RD1_WIN,RD2_WIN,RD3_WIN,RD4_WIN,RD5_WIN,RD6_WIN,RD7_WIN,TEAM_RATING,TEAM_SEED,PLAYIN_FLAG_1,RD1_WIN_1,RD2_WIN_1,RD3_WIN_1,RD4_WIN_1,RD5_WIN_1,RD6_WIN_1,RD7_WIN_1,TEAM_RATING_1,TEAM_SEED_1
1,0.871,0.6565,0.8462,0.6409,6,0.8889,0.667,3,0.833333,0.666667,105,118,14,0.25,0.875,1,1,1,0,0.8667,0.6454,1,0.6514,3,0.7778,0.6431,9,0.727273,1,110,118,59,0.666667,0.875,0.75,0.909091,1,0,0,1,0.96293972,0.76701243,0.47647829,0.22409316,0.13306882,0.06422666,91.29,2,0,1,0.94127341,0.59532198,0.29417482,0.09856106,0.04215533,0.0181018,87.73,2
0,0.871,0.6565,0.8462,0.6409,6,0.8889,0.667,3,0.833333,0.666667,105,118,14,0.25,0.875,1,1,1,0,0.8,0.6575,0.9167,0.6594,2,0.7222,0.6557,4,0.454545,1,92,102,52,0.777778,1,0.555556,1,1,0,0,1,0.96293972,0.76701243,0.47647829,0.22409316,0.13306882,0.06422666,91.29,2,0,1,0.98257765,0.80380925,0.51767831,0.30355732,0.17223795,0.0981694,92.46,1
0,0.871,0.6565,0.8462,0.6409,6,0.8889,0.667,3,0.833333,0.666667,105,118,14,0.25,0.875,1,1,1,0,0.8,0.6457,1,0.6485,4,0.6667,0.6412,11,0.583333,1,98,115,28,0.555556,0.8,0.8,1,1,0,0,1,0.96293972,0.76701243,0.47647829,0.22409316,0.13306882,0.06422666,91.29,2,0,1,0.95858319,0.82132961,0.53341957,0.31970067,0.14305305,0.06818847,89.96,2
1,0.871,0.6565,0.8462,0.6409,6,0.8889,0.667,3,0.833333,0.666667,105,118,14,0.25,0.875,1,1,1,0,0.7742,0.5934,0.8462,0.6046,26,0.7222,0.5868,49,0.909091,0.5,135,159,53,0.5,0.25,0.6,0.923077,1,0,0,1,0.96293972,0.76701243,0.47647829,0.22409316,0.13306882,0.06422666,91.29,2,0,1,0.39351391,0.09322671,0.03568588,0.0112186,0.00263522,0.00071271,81.61,8
1,0.871,0.6565,0.8462,0.6409,6,0.8889,0.667,3,0.833333,0.666667,105,118,14,0.25,0.875,1,1,1,0,0.5484,0.481,0.3,0.4658,221,0.6667,0.4702,219,0.529412,0,237,260,208,0,0,0,0.6,0.608696,1,0,1,0.96293972,0.76701243,0.47647829,0.22409316,0.13306882,0.06422666,91.29,2,1,0.32773963,0.00242482,0.00028391,1.65E-05,1.45E-06,8.00E-08,0,66.72,16
1,0.8,0.6538,0.8333,0.6303,9,0.7778,0.6693,2,0.545455,0.5,88,94,64,0.8,0.714286,0.8,0.666667,1,1,0.6207,0.5961,0.8,0.6003,34,0.5263,0.597,40,0.333333,1,88,117,42,0.375,0.6,0.625,0.666667,1,1,0,1,0.97687859,0.72203287,0.43961241,0.22636162,0.07248937,0.02580594,88,1,0,1,0.26556296,0.02682859,0.00814584,0.00234282,0.00034214,6.00E-05,77.63,7
0,0.8,0.6538,0.8333,0.6303,9,0.7778,0.6693,2,0.545455,0.5,88,94,64,0.8,0.714286,0.8,0.666667,1,1,0.7097,0.6193,0.7692,0.5814,50,0.6667,0.6467,8,0.363636,0,95,118,39,0.428571,0.571429,0.857143,0.8,1,0,0,1,0.97687859,0.72203287,0.43961241,0.22636162,0.07248937,0.02580594,88,1,0,1,0.85542774,0.47614677,0.1086855,0.03999135,0.01902739,0.00718934,86.53,4
1,0.8,0.6538,0.8333,0.6303,9,0.7778,0.6693,2,0.545455,0.5,88,94,64,0.8,0.714286,0.8,0.666667,1,1,0.7667,0.6358,0.8333,0.63,10,0.7222,0.6407,12,0.5,0.75,91,110,27,0.428571,0.75,0.875,1,1,1,0,1,0.97687859,0.72203287,0.43961241,0.22636162,0.07248937,0.02580594,88,1,0,1,0.87009917,0.4955672,0.15469945,0.05296992,0.02032035,0.00821315,86.64,3
1,0.8,0.6538,0.8333,0.6303,9,0.7778,0.6693,2,0.545455,0.5,88,94,64,0.8,0.714286,0.8,0.666667,1,1,0.6774,0.5948,0.8333,0.5863,47,0.5789,0.6064,31,0.363636,0.5,106,141,31,0.333333,0.333333,0.833333,0.833333,1,1,0,1,0.97687859,0.72203287,0.43961241,0.22636162,0.07248937,0.02580594,88,1,0,1,0.36337233,0.03928262,0.01515909,0.00416723,0.00154824,0.00045187,81.46,8
1,0.8,0.6538,0.8333,0.6303,9,0.7778,0.6693,2,0.545455,0.5,88,94,64,0.8,0.714286,0.8,0.666667,1,1,0.7742,0.6016,0.9231,0.5876,44,0.6667,0.6135,24,0.5,0.666667,117,141,35,0.25,0.5,1,0.666667,1,0,0,1,0.97687859,0.72203287,0.43961241,0.22636162,0.07248937,0.02580594,88,1,0,1,0.5143169,0.32042143,0.14781034,0.06042232,0.03637168,0.01783296,89.04,6
