"PLAYIN_FLAG","RD1_WIN","RD2_WIN","RD3_WIN","RD4_WIN","RD5_WIN","RD6_WIN","RD7_WIN","TEAM_ALIVE","TEAM_ID","TEAM_NAME","TEAM_RATING","TEAM_REGION","TEAM_SEED","RANK","SCHOOL","WL","PCT","RPI","WL_NC","PCT_NC","RPI_NC","RANK_NC","WL_C","PCT_C","RPI_C","RANK_OLD","ROAD","NC","OPP","WIN","LOSS","WL_1_25","WL_26_50","WL_51_100","WL_101_200","WL_201","ND1"
0,1,0.1580884,0.04770128,0.00826443,0.00191855,0.00048245,0.00013448,1,2031,"Little Rock",78.9,"Midwest","12",52,"Little Rock","25-4",0.8621,0.5808,"8-1",0.8889,0.5867,46,"17-3",0.85,0.5775,62,"12-4","1-0",203,208,173,"0-0","2-1","2-0","7-1","14-2","2-0"
0,1,0.12316657,0.01629048,0.0016262,0.0003633,0.0000715,0.0000153,1,236,"Chattanooga",76.6,"East","12",54,"Chattanooga","27-5",0.8438,0.5806,"9-2",0.8182,0.604,27,"18-3",0.8571,0.5616,79,"11-4","5-0",193,203,139,"1-1","0-0","4-0","8-3","14-1","2-0"
0,1,0.27805979,0.04054921,0.00956073,0.00166625,0.00044736,0.0000941,1,218,"Temple",78.48,"South","10",57,"Temple","20-10",0.6667,0.5783,"6-6",0.5,0.5188,148,"14-4",0.7778,0.6212,20,"8-4","1-3",133,170,60,"1-3","3-4","3-1","1-1","12-1","0-0"
0,1,0.63662767,0.09951278,0.0528118,0.0208424,0.009286,0.00327233,1,41,"Connecticut",85.32,"South","9",60,"Connecticut","21-10",0.6774,0.5771,"10-3",0.7692,0.5707,64,"11-7",0.6111,0.5836,55,"6-4","1-3",130,170,45,"2-2","1-4","3-4","5-0","10-0","0-0"
0,1,0.07469338,0.01518218,0.00196437,0.00054641,0.0000977,0.0000191,1,2619,"Stony Brook",77.09,"East","13",64,"Stony Brook","23-6",0.7931,0.5683,"7-4",0.6364,0.6031,30,"16-2",0.8889,0.5555,86,"11-5","0-0",206,233,102,"0-0","1-1","1-1","6-4","15-0","2-0"
0,1,0.47644216,0.09734414,0.04430409,0.01255474,0.00359924,0.00112681,1,183,"Syracuse",82.69,"Midwest","10",67,"Syracuse","19-13",0.5938,0.5671,"10-3",0.7692,0.5772,56,"9-10",0.4737,0.5633,75,"3-8","3-1",107,139,59,"2-5","2-4","4-1","5-2","6-1","0-0"
1,0.53621707,0.18883321,0.04683546,0.01622792,0.00313976,0.00082848,0.00023095,1,130,"Michigan",79.57,"East","11a",68,"Michigan","19-11",0.6333,0.5664,"9-3",0.75,0.5498,93,"10-8",0.5556,0.5784,61,"4-6","3-1",126,184,26,"3-8","0-1","0-2","7-0","9-0","1-0"
0,1,0.29989084,0.09516434,0.02507946,0.0084253,0.00185985,0.00047572,1,2460,"Northern Iowa",80.24,"West","11",69,"Northern Iowa","21-12",0.6364,0.565,"7-5",0.5833,0.5679,70,"14-7",0.6667,0.544,97,"6-8","5-1",159,165,150,"2-0","2-1","4-2","5-6","8-3","1-0"
0,1,0.15189607,0.06274396,0.02012179,0.00357558,0.00126262,0.00045693,1,2617,"Stephen F. Austin",80.98,"East","14",77,"Stephen F. Austin","21-5",0.8077,0.5606,"3-5",0.375,0.4978,179,"18-0",1,0.5767,63,"9-4","2-1",224,253,103,"0-0","0-1","2-3","6-0","13-1","4-0"
0,1,0.15929771,0.03193922,0.0050085,0.00106553,0.00021028,0.0000472,1,314,"Iona",78.22,"Midwest","13",80,"Iona","22-10",0.6875,0.5583,"3-6",0.3333,0.4798,200,"19-4",0.8261,0.5631,76,"9-6","2-2",179,219,91,"0-0","0-3","2-3","4-3","16-1","0-0"
